english,japanese,context
Algorithm,アルゴリズム,計算や問題を解決するための手順や計算方法。
API,エーピーアイ,ソフトウェアやプログラム同士が機能を共有するための仕組み。
Array,配列,同じ型のデータを連続して並べたデータ構造。
Back-end,バックエンド,サーバーサイドなど、ユーザーの目に見えない部分の処理。
Bandwidth,帯域幅,データ通信において、一定時間内に送受信できるデータ量。
Binary,バイナリ,0と1の2進数で表現されたデータ形式。
Blockchain,ブロックチェーン,データを分散して記録する、改ざんが困難な技術。
Boolean,真偽値,True（真）かFalse（偽）のいずれかの値をとるデータ型。
Browser,ブラウザ,ウェブサイトを閲覧するためのソフトウェア（Chrome, Safariなど）。
Bug,バグ,プログラムに含まれる誤りや欠陥。
Cache,キャッシュ,データを一時的に保存して、次回以降のアクセスを高速化する仕組み。
Cloud Computing,クラウドコンピューティング,インターネット経由でサーバーやストレージを利用する形態。
Compiler,コンパイラ,プログラミング言語で書かれたコードを機械語に変換するプログラム。
Cryptography,暗号学,情報を第三者に解読されないように保護する技術。
Database,データベース,大量のデータを効率的に管理し、検索や抽出ができるように整理された基地。
Debugging,デバッグ,プログラム中のバグを見つけ出し、修正する作業。
Deployment,デプロイ,開発したシステムやアプリケーションを実際の運用環境に配置すること。
DNS,ディーエヌエス,ドメイン名とIPアドレスを紐付ける仕組み。
Documentation,ドキュメント,ソフトウェアの仕様や使い方を記した文書。
Encryption,暗号化,データを特定のルールで変換し、正当な権限がないと読めないようにすること。
Ethernet,イーサネット,コンピュータネットワークの主要な通信規格。
Framework,フレームワーク,アプリケーション開発の土台となる再利用可能なソフトウェア構造。
Front-end,フロントエンド,Webサイトなどでユーザーが直接操作する画面部分。
Full-stack,フルスタック,フロントエンドからバックエンドまで、幅広い技術を扱えること。
Git,ギット,プログラムの変更履歴を管理する分散型バージョン管理システム。
GUI,ジーユーアイ,アイコンやマウス操作など、視覚的に操作できるユーザーインターフェース。
Hardware,ハードウェア,コンピュータ本体や周辺機器など、物理的な装置の総称。
IDE,アイディーイー,コード作成、テスト、デバッグなどを一括して行える統合開発環境。
Index,インデックス,データベースなどでデータの検索速度を向上させるための索引。
Inheritance,継承,オブジェクト指向で、既存のクラスの性質を引き継ぐこと。
Instance,インスタンス,クラスを元にメモリ上に実体化されたオブジェクト。
IP Address,アイピーアドレス,ネットワーク上の機器を識別するための番号。
Iteration,イテレーション,一連の工程を繰り返すこと、または反復。
JavaScript,ジャバスクリプト,Webページに動きをつけるために広く使われるプログラミング言語。
JSON,ジェイソン,データ交換に広く使われる、軽量なテキストベースのデータ形式。
Kernel,カーネル,OSの中核となる、ハードウェアとソフトウェアを仲介する部分。
Latency,レイテンシ,データの転送要求から実際に届き始めるまでの遅延時間。
Library,ライブラリ,頻繁に使う機能を再利用可能な形でまとめたファイル群。
Linux,リナックス,サーバーや開発環境で広く使われているオープンソースのOS。
Loop,ループ,特定の条件を満たすまで、同じ処理を繰り返すこと。
Machine Learning,機械学習,データから学習し、予測や判断を行うAIの一分野。
Metadata,メタデータ,データそのものではなく、そのデータに関する付随的な情報。
Method,メソッド,オブジェクト指向において、クラスに定義された処理や操作。
Middleware,ミドルウェア,OSとアプリケーションの中間で特定の機能を補完するソフトウェア。
Migration,移行,システムやデータを新しい環境へ移し替えること。
Module,モジュール,プログラムを構成する、特定の機能を持った部品単位。
Multi-threading,マルチスレッド,1つのプログラム内で複数の処理を並行して実行すること。
Network,ネットワーク,複数のコンピュータを接続し、情報をやり取りできる状態。
Node,ノード,ネットワーク上の個々の接続点や、データ構造の要素。
Object,オブジェクト,データとそれに対する操作をひとまとめにしたもの。
Open Source,オープンソース,ソースコードが公開され、誰でも自由に改良や配布ができること。
Operating System,オペレーティングシステム,コンピュータの基本動作を制御するソフトウェア（Windows, macOSなど）。
Packet,パケット,通信において細かく分割されたデータの単位。
